ID,Nombre de la Unidad Económica,Razón social,Código de la clase de actividad SCIAN,Nombre de clase de la actividad,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Número exterior o kilómetro,Letra exterior,Edificio,Edificio Piso,Número interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado público",Número de local,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Manzana,Número de teléfono,Correo electrónico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporación al DENUE
6777145,ADMINISTRACION HOSPITAL INNOVARE,CIRUJIA PLASTICA SIGLO XXI  SAPI DE CV,622111,Hospitales generales del sector privado,101 a 250 personas,CALLE,VERONA,EJE VIAL,NINGUNO,PASAJE,NINGUNO,EJE VIAL,NINGUNO,0,SN,CENTRAL CAMIONERA,17,,,COLONIA,VIRREYES RESIDENCIAL,CENTRAL CAMIONERA,INNOVARE,0,45110,14,JALISCO,120,Zapopan,1,Zapopan,5942,1,,,WWW.INNOVARECIRUGIAPLASTICA.COM,Fijo,20.70244825,-103.4459125,2017-03
1961978,AMERICAS HOSPITAL,AMERICAS HOSPITAL ,622111,Hospitales generales del sector privado,11 a 30 personas,AVENIDA,AVENIDA DE LAS AMERICAS,AVENIDA,ADOLFO LOPEZ MATEOS NORTE,CALLE,REGIDORES,CALLE,NINGUNO,932,,,,,,COLONIA,CHAPULTEPEC COUNTRY,,,,44620,14,JALISCO,39,Guadalajara,1,Guadalajara,4870,10,3338173141,ADMIN@AMERICASHOSPITAL.COM,WWW.AMERICASHOSPITAL.COM,Fijo,20.69463929,-103.3731026,2010-07
8605923,BANCO MERCNATIL DEL NORTE,BANCO MERCANTIL DEL NORTE SA DE CV,622111,Hospitales generales del sector privado,0 a 5 personas,PROLONGACION,PROLONGACION DE LAS AMERICAS,AVENIDA,ADOLFO LOPEZ MATEOS NORTE,CALLE,BUENOS AIRES,CALLE,FILADELFIA,1545,,,,,,COLONIA,PROVIDENCIA,,,,44630,14,JALISCO,39,Guadalajara,1,Guadalajara,596,16,3333932366,,WWW.BANORTE.COM,Fijo,20.69740042,-103.3739461,2019-11
7151661,CARDIOLOGÍA INTEGRAL ARBOLEDAS,CARDIOLOGIA INTEGRAL ARBOLEDAS SC,622311,Hospitales del sector privado de otras especialidades médicas,0 a 5 personas,AVENIDA,NICOLAS COPERNICO,CALLE,NICOLAS COPERNICO,CALLE,PEDRO SIMON LAPLACE,CALLE,VÍA LÁCTEA,4044,12,,,0,,COLONIA,ARBOLEDAS,,,,45070,14,JALISCO,120,Zapopan,1,Zapopan,4465,14,,,WWW.CARDIOVITAL.COM.MX,Fijo,20.63062529,-103.4234699,2019-11
1720218,CASA DE LA SALUD,HONORABLE AYUNTAMIENTO DE TONALA ,622112,Hospitales generales del sector público,0 a 5 personas,CALLE,EMILIANO ZAPATA,CALLE,BENITO JUAREZ,CALLE,FRANCISCO VILLA,CALLE,ÁLVARO OBREGÓN,,SN,,,,,COLONIA,SAN MIGUEL LA PUNTA,,,,45425,14,JALISCO,101,Tonalá,27,La Punta,2355,1,,,,Fijo,20.56978658,-103.2101327,2014-12
1798495,CECIS CLÍNICA DE MEDICINA FAMILIAR CON ESPECIALIDADES Y QUIRIOFANO,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO ,622312,Hospitales del sector público de otras especialidades médicas,101 a 250 personas,CALLE,SAN FELIX,CALLE,SAN EFREN,CALLE,SIN REFERENCIA,CALLE,SIN REFERENCIA,,SN,,,,,COLONIA,FOVISSSTE ESTADIO,,,,44240,14,JALISCO,39,Guadalajara,1,Guadalajara,4955,36,,,,Fijo,20.71041006,-103.3235796,2014-12
1799826,CENTRO DE ATENCIÓN A ENFERMOS RENALES SAN FRANCISCO,,622111,Hospitales generales del sector privado,6 a 10 personas,CALLE,DONATO GUERRA,AVENIDA,NIÑOS HEROES,CALLE,FERMIN RIESTRA,CALLE,COLÓN,781,A,,,,,COLONIA,MODERNA,,,,44190,14,JALISCO,39,Guadalajara,1,Guadalajara,2164,10,3336144355,CONTACTO@CAERSANFRANCISCO.COM,WWW.CAERSANFRANCISCO.COM,Fijo,20.66426653,-103.3531695,2014-12
1859073,CENTRO DE ATENCIÓN EN SALUD EMOCIONAL,,622211,Hospitales psiquiátricos y para el tratamiento por adicción del sector privado,0 a 5 personas,CALLE,EFRAIN GONZALEZ LUNA,CALLE,LOPE DE VEGA,CALLE,FRANCISCO DE QUEVEDO,CALLE,LERDO DE TEJADA,2534,,,,3,,COLONIA,ARCOS VALLARTA,,,,44130,14,JALISCO,39,Guadalajara,1,Guadalajara,1560,2,,DR.MARIOAGUILAR@HOTMAIL.COM,,Fijo,20.66966092,-103.3806995,2010-07
8653376,CENTRO DE ATENCIÓN INTEGRAL EN SALUD MENTAL DE ASISTENCIA PROLONGADA,INSTITUTO JALISCIENSE DE SALUD MENTAL ,622212,Hospitales psiquiátricos y para el tratamiento por adicción del sector público,251 y más personas,CALLE,DOCTOR ROBERTO MICHEL,PRIVADA,FLOR DE TULIPAN,CALLE,FLOR DE NARDO,CALLE,FLOR DE AZALEA,,SN,,,,,LOCALIDAD,ZAPOTE DEL VALLE,,,,45672,14,JALISCO,97,Tlajomulco de Zúñiga,41,Zapote del Valle (Zapote de Santa Cruz),1009,8,,,,Fijo,20.51328335,-103.3001749,2019-11
7781154,CENTRO DE DIAGNOSTICO,,622111,Hospitales generales del sector privado,0 a 5 personas,CALLE,TARASCOS,CALLE,LACANDONES,CALLE,RINCONADA DEL NARDO,CALLE,TOLTECAS,3514,,"HOSPITAL, CENTRO MEDICO O CLINICA",17,112,,COLONIA,MINERVA,"HOSPITAL, CENTRO MEDICO O CLINICA",CENTRO DE DIACNOSTICO INTEGRAL,112,44670,14,JALISCO,39,Guadalajara,1,Guadalajara,1043,6,,,,Fijo,20.68128313,-103.3987896,2019-11
